Database	Dataset	C-Index	L1-Ratio
KEGG	lihc	0.6206030150753769	0.13
KEGG	lihc	0.6231884057971014	0.31
KEGG	lihc	0.4948453608247423	0.23
KEGG	lihc	0.4516971279373368	0.94
KEGG	lihc	0.4662576687116564	0.11
KEGG	lihc	0.5886699507389163	0.94
KEGG	lihc	0.5648148148148148	0.07
KEGG	lihc	0.583756345177665	0.01
KEGG	kirc	0.5918367346938775	0.91
KEGG	kirc	0.5989010989010989	0.11
KEGG	kirc	0.5871794871794872	0.71
KEGG	kirc	0.5228260869565218	0.94
KEGG	kirc	0.4813218390804598	0.53
KEGG	kirc	0.6417582417582418	0.49
KEGG	kirc	0.5217864923747276	0.13
KEGG	kirc	0.615568862275449	0.07
KEGG	kirc	0.5861386138613861	0.82
KEGG	kirc	0.5664335664335665	0.98
KEGG	ov	0.5298013245033113	0.07
KEGG	ov	0.5638297872340425	0.07
KEGG	ov	0.484251968503937	0.07
KEGG	ov	0.44904458598726116	0.07
KEGG	ov	0.49712643678160917	0.74
KEGG	ov	0.6272965879265092	0.01
KEGG	ov	0.48656716417910445	0.01
KEGG	ov	0.5653710247349824	0.11
KEGG	ov	0.5627240143369175	0.07
KEGG	ov	0.6511627906976745	0.11
Reactome	prad	0.5924713584288053	0.19
Reactome	prad	0.5860621326616289	0.73
Reactome	prad	0.5269097222222222	0.98
Reactome	prad	0.553469387755102	0.07
Reactome	prad	0.502542372881356	0.98
Reactome	prad	0.451209341117598	0.11
Reactome	prad	0.5126530612244898	0.11
Reactome	prad	0.562551103843009	0.23
Reactome	prad	0.48595744680851066	0.19
Reactome	prad	0.5948497854077254	0.07
Reactome	brca	0.5384761542846286	0.49
Reactome	brca	0.42410969339173493	0.74
Reactome	brca	0.452851711026616	0.07
Reactome	brca	0.5364633442370599	0.53
Reactome	brca	0.5894835680751174	0.17
Reactome	brca	0.5285341290563222	0.11
Reactome	brca	0.49372384937238495	0.23
Reactome	brca	0.5546875	0.76
Reactome	brca	0.48730189039526445	0.31
Reactome	brca	0.5560296846011131	0.31
Reactome	lihc	0.5443298969072164	0.01
Reactome	lihc	0.5040214477211796	0.01
Reactome	lihc	0.5102974828375286	0.07
Reactome	lihc	0.5807860262008734	0.01
Reactome	lihc	0.5046296296296297	0.11
Reactome	lihc	0.6262886597938144	0.01
Reactome	lihc	0.506993006993007	0.07
Reactome	lihc	0.49448123620309054	0.01
Reactome	lihc	0.4155124653739612	0.01
Reactome	lihc	0.5859872611464968	0.01
Reactome	kirc	0.6226851851851852	0.11
Reactome	kirc	0.6345256609642301	0.41
Reactome	kirc	0.6702127659574468	0.43
Reactome	kirc	0.6529680365296804	0.07
Reactome	kirc	0.5031133250311333	0.07
Reactome	kirc	0.571619812583668	0.17
Reactome	kirc	0.5296208530805687	0.07
Reactome	kirc	0.5646630236794171	0.23
Reactome	kirc	0.6046255506607929	0.11
Reactome	kirc	0.5515832482124617	0.07
Reactome	ov	0.5414012738853503	0.01
Reactome	ov	0.6151515151515151	0.01
Reactome	ov	0.44485294117647056	0.94
Reactome	ov	0.678391959798995	0.01
Reactome	ov	0.5822368421052632	0.01
Reactome	ov	0.803680981595092	0.01
Reactome	ov	0.40476190476190477	0.01
Reactome	ov	0.6213872832369942	0.01
Reactome	ov	0.5232198142414861	0.01
Reactome	ov	0.43389830508474575	0.01
MPath	prad	0.6675084175084175	0.07
MPath	prad	0.5510204081632653	0.13
MPath	prad	0.5839536807278742	0.11
MPath	prad	0.5331098072087175	0.74
MPath	prad	0.5183973834832379	0.19
MPath	prad	0.49706129303106633	0.07
MPath	prad	0.5675	0.11
MPath	prad	0.5779967159277504	0.97
MPath	prad	0.5790816326530612	0.31
MPath	prad	0.6277436347673397	0.11
